url,product_name,seller_name,category_name
https://aws.amazon.com/marketplace/pp/prodview-qk4rleikryeqw,RHEL-CUBRID-11,CUBRID,Databases & Analytics Platforms
https://aws.amazon.com/marketplace/pp/prodview-duwgggonz7dtm,Oracle DB 11g Express AMI on Linux | 24/7 Support by cloudimg,cloudimg,Databases
https://aws.amazon.com/marketplace/pp/prodview-64gr4tjfw6dwm,Qualified,"Qualified.com, Inc.",CRM
https://aws.amazon.com/marketplace/pp/prodview-rm3sapclvznps,Fireblocks Services and Support,Fireblocks,Premium Support
https://aws.amazon.com/marketplace/pp/prodview-a3kiicfzpiteo,SFTPGo Open Source - SQLite (ARM64),SFTPGo authors,Security
https://aws.amazon.com/marketplace/pp/prodview-nt6mirx4mcgnk,Continuous Testing for Applications and Websites,Uplancer Agency,Testing
https://aws.amazon.com/marketplace/pp/prodview-w5rczogtgsxqk,ResNet 50,Amazon Web Services,Computer Vision
https://aws.amazon.com/marketplace/pp/prodview-mevnqxvtjs2nc,CEQUENS SMS Campaigns,CEQUENS,Managed Services
https://aws.amazon.com/marketplace/pp/prodview-g5vgkbphmoylw,Kyndryl Agentic IT Management – SRE Assist,Kyndryl,Assessments
https://aws.amazon.com/marketplace/pp/prodview-fkxx5q3fmnz4q,Belgium Car Data for Market Research: Detailed LCV Prices and Specs,,AI Agents & Tools
https://aws.amazon.com/marketplace/pp/prodview-sksatcykjvt32,MaxKB on CentOS Stream 9 support by Easycloud,EASYCLOUD,Operating Systems
https://aws.amazon.com/marketplace/pp/prodview-22jbdl46f7ceq,Services Credits (Retainer),Check Point Software Technologies,Training
https://aws.amazon.com/marketplace/pp/prodview-dia3xxvgokc2e,Secure Digital Identity by VO,Verified Orchestration,Cloud Operations
https://aws.amazon.com/marketplace/pp/prodview-yoaznakmz6rou,CloudXper CloudLens,LG CNS,Cloud Operations
https://aws.amazon.com/marketplace/pp/prodview-x5hvrxkolf66w,DevOps: Container Essentials by Bechtle,Bechtle Clouds GmbH,Infrastructure as Code
https://aws.amazon.com/marketplace/pp/prodview-vrirmbwoxxo3e,Predictive Maintenance for industrial equipment,Keepler Data Tech,ML Solutions
https://aws.amazon.com/marketplace/pp/prodview-aaiuwdy4zs2ug,Cognizant® Data Unification Framework,Cognizant,Assessments
https://aws.amazon.com/marketplace/pp/prodview-u62gzkpkunsi2,IoT Cloud Foundations - Onboarding and Implementation,56k.Cloud (CH),Implementation
https://aws.amazon.com/marketplace/pp/prodview-v7v4adc3jv6tk,Watermelon Software Chaos Engineering,WATERMELON SOFTWARE PTE. LTD,Agile Lifecycle Management
https://aws.amazon.com/marketplace/pp/prodview-mgb4abuyr734a,Xops360,AXIOMIO,Cloud Financial Management
https://aws.amazon.com/marketplace/pp/prodview-2vyfxwgim6utm,AI-Powered Citizen Services Portal,"Strategic Communications, LLC",Implementation
https://aws.amazon.com/marketplace/pp/prodview-com2nrcvzmyka,DigiTRAC: Accelerate Key Data Processing,Fractal Analytics Inc,Healthcare & Life Sciences
https://aws.amazon.com/marketplace/pp/prodview-gyvulzgq3puse,"Traffic Pulse New York-Newark-Jersey City, NY-NJ-PA",,AI Agents & Tools
https://aws.amazon.com/marketplace/pp/prodview-yxactqmdh4nzo,Adobe ColdFusion (2025 Release) Ubuntu Linux,Coalesce Solutions,Application Development
https://aws.amazon.com/marketplace/pp/prodview-s5ekcxmosaxzq,RedHat 9.4 E4S | Support by ProComputers,ProComputers,Operating Systems
https://aws.amazon.com/marketplace/pp/prodview-ylgmjc42jg3hw,AI Roadmap Prioritization Workshop (AIR),Basis,Assessments
https://aws.amazon.com/marketplace/pp/prodview-ukzz3kvddywks,Exports of goods and services (IEAXGS) | FRED,,AI Agents & Tools
https://aws.amazon.com/marketplace/pp/prodview-sxg4lfd73fr5q,MarsHotSpot Security Services,Marshotspot Limited,Security
https://aws.amazon.com/marketplace/pp/prodview-u2in6sa3igl7c,TrendAI  Vision One™,Trend Micro,Security
https://aws.amazon.com/marketplace/pp/prodview-suffguyger4g4,Cogynt,Cogility Software,Streaming solutions
